district_name,state,nces_id,url,corona,covid,closure,scraping_failed,link_found
acceleration day and evening academy,alabama,0100197,http://www.maef.net,FALSE,FALSE,FALSE,FALSE,FALSE
alabaster city,alabama,0100190,http://www.alabasterschools.org,TRUE,TRUE,TRUE,FALSE,TRUE
albertville city,alabama,0100005,http://www.albertk12.org,FALSE,FALSE,TRUE,FALSE,TRUE
alexander city,alabama,0100030,http://www.alexcityschools.net,FALSE,TRUE,FALSE,FALSE,TRUE
andalusia city,alabama,0100060,http://www.andalusiacityschools.net,FALSE,FALSE,FALSE,FALSE,FALSE
anniston city,alabama,0100090,http://www.annistonschools.com,TRUE,TRUE,FALSE,FALSE,TRUE
arab city,alabama,0100100,http://www.arabcityschools.org,FALSE,TRUE,FALSE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
attalla city,alabama,0100180,http://www.attalla.k12.al.us,TRUE,FALSE,FALSE,FALSE,TRUE
auburn city,alabama,0100210,http://www.auburnschools.org,FALSE,FALSE,FALSE,FALSE,FALSE
autauga county,alabama,0100240,http://acboe.net,TRUE,TRUE,FALSE,FALSE,TRUE
baldwin county,alabama,0100270,http://www.bcbe.org,FALSE,TRUE,FALSE,FALSE,TRUE
barbour county,alabama,0100300,http://www.barbourschools.org,FALSE,FALSE,FALSE,FALSE,FALSE
bessemer city,alabama,0100330,http://www.bessk12.org,FALSE,TRUE,FALSE,FALSE,TRUE
bibb county,alabama,0100360,http://www.bibbed.org,TRUE,TRUE,FALSE,FALSE,TRUE
birmingham city,alabama,0100390,http://www.bhamcityschools.org,TRUE,TRUE,TRUE,FALSE,TRUE
blount county,alabama,0100420,http://www.blountboe.net,TRUE,TRUE,FALSE,FALSE,TRUE
boaz city,alabama,0100012,http://www.boazk12.org,FALSE,TRUE,FALSE,FALSE,TRUE
brewton city,alabama,0100450,http://www.brewtoncityschools.org/,TRUE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,TRUE,NA
