link,district,state,nces_id,page_number,type,found
NA,NA,NA,NA,NA,LINK,FALSE
http://www.albertk12.org/apps/news/show_news.jsp?REC_ID=627714&id=0,albertville city,alabama,0100005,1,LINK,TRUE
http://www.alexcityschools.net/?DivisionID=24331&ToggleSideNav=ShowAll,alexander city,alabama,0100030,1,LINK,TRUE
NA,NA,NA,NA,NA,LINK,FALSE
http://www.arabcityschools.org/domain/725,arab city,alabama,0100100,1,LINK,TRUE
http://www.acs-k12.org/domain/2161,athens city,alabama,0100120,1,LINK,TRUE
NA,NA,NA,NA,NA,LINK,FALSE
NA,NA,NA,NA,NA,LINK,FALSE
http://www.attalla.k12.al.us/Page/2113,attalla city,alabama,0100180,1,LINK,TRUE
https://archrespite.org/Covid-19-Respite-Resources,autauga county,alabama,0100240,1,LINK,TRUE
http://acboe.net/sys/content/newspost/4e1b6acb7d274b048d69fb6ff44a6740,autauga county,alabama,0100240,2,LINK,TRUE
http://www.bcbe.org/domain/7655,baldwin county,alabama,0100270,1,LINK,TRUE
NA,NA,NA,NA,NA,LINK,FALSE
https://www.bcbe.org/Page/22121,baldwin county,alabama,0100270,3,LINK,TRUE
http://www.bessk12.org?DivisionID=24326,bessemer city,alabama,0100330,1,LINK,TRUE
http://www.bhamcityschools.org/domain/8828,birmingham city,alabama,0100390,1,LINK,TRUE
https://www.cdc.gov/coronavirus/2019-ncov/community/index.html,birmingham city,alabama,0100390,2,LINK,TRUE
NA,NA,NA,NA,NA,LINK,FALSE
NA,NA,NA,NA,NA,LINK,FALSE
NA,NA,NA,NA,NA,LINK,FALSE
http://www.blountboe.net/parents/c_o_v_i_d_19_coloring_sheets,blount county,alabama,0100420,1,LINK,TRUE
https://www.cdc.gov/coronavirus/2019-ncov/travelers/index.html,blount county,alabama,0100420,4,LINK,TRUE
NA,NA,NA,NA,NA,LINK,FALSE
http://www.brewtoncityschools.org/../../site/default.aspx?PageType=3&ModuleInstanceID=4&ViewID=ed695a1c-ef13-4546-b4eb-4fefcdd4f389&RenderLoc=0&FlexDataID=4578&PageID=1&Comments=true,brewton city,alabama,0100450,1,LINK,TRUE
https://www.alsde.edu/COVID19%20Updates/CoronavirusFAQs.jpg,butler county,alabama,0100510,2,LINK,TRUE
https://drive.google.com/file/d/1bYus4mLZYKV5qE-7gAmZlUvzehhLinky/view?usp=sharing,cherokee county,alabama,0100630,1,LINK,TRUE
https://docs.google.com/document/d/1dQs3Ux-3MqgzMvIbSGxrjHcaeugmzCEhXVK25K_Vp5o/edit?usp=sharing,cherokee county,alabama,0100630,2,LINK,TRUE
http://www.chickasawschools.com//domain/1376,chickasaw city,alabama,0100188,1,LINK,TRUE
http://www.annistonschools.com/cms/lib/AL02205080/Centricity/ModuleInstance/6098/COVID%2019%20FMLA%20RIGHTS.pdf,anniston city,alabama,0100090,2,ATTACHMENT,TRUE
http://www.annistonschools.com/cms/lib/AL02205080/Centricity/ModuleInstance/6098/CORONA_PARENT.pdf,anniston city,alabama,0100090,3,ATTACHMENT,TRUE
https://www.bhamcityschools.org/cms/lib/AL01001646/Centricity/Domain/4/Central%20Six%20COVID-19%20Resources.pdf,birmingham city,alabama,0100390,3,ATTACHMENT,TRUE
http://www.butlerco.k12.al.us/cms/lib/AL50000080/Centricity/ModuleInstance/15/Press%20Release%20040320-School%20Closure%20Academic%20Plan-Student%20Meals.pdf,butler county,alabama,0100510,1,ATTACHMENT,TRUE
