district_name,state,nces_id,url,any_link_found,n_links_found
acceleration day and evening academy,alabama,0100197,http://www.maef.net,FALSE,0
alabaster city,alabama,0100190,http://www.alabasterschools.org,TRUE,1
albertville city,alabama,0100005,http://www.albertk12.org,TRUE,1
alexander city,alabama,0100030,http://www.alexcityschools.net,TRUE,1
andalusia city,alabama,0100060,http://www.andalusiacityschools.net,FALSE,0
anniston city,alabama,0100090,http://www.annistonschools.com,TRUE,3
arab city,alabama,0100100,http://www.arabcityschools.org,TRUE,1
athens city,alabama,0100120,http://www.acs-k12.org,TRUE,3
attalla city,alabama,0100180,http://www.attalla.k12.al.us,TRUE,1
auburn city,alabama,0100210,http://www.auburnschools.org,FALSE,0
autauga county,alabama,0100240,http://acboe.net,TRUE,2
baldwin county,alabama,0100270,http://www.bcbe.org,TRUE,3
barbour county,alabama,0100300,http://www.barbourschools.org,FALSE,0
bessemer city,alabama,0100330,http://www.bessk12.org,TRUE,1
bibb county,alabama,0100360,http://www.bibbed.org,FALSE,0
birmingham city,alabama,0100390,http://www.bhamcityschools.org,TRUE,6
blount county,alabama,0100420,http://www.blountboe.net,TRUE,4
boaz city,alabama,0100012,http://www.boazk12.org,TRUE,1
brewton city,alabama,0100450,http://www.brewtoncityschools.org/,TRUE,1
NA,NA,NA,NA,FALSE,0
butler county,alabama,0100510,http://www.butlerco.k12.al.us,TRUE,2
calhoun county,alabama,0100540,http://www.calhoun.k12.al.us,FALSE,0
chambers county,alabama,0100600,http://www.chambersk12.org,FALSE,0
cherokee county,alabama,0100630,http://www.cherokeek12.org,TRUE,2
chickasaw city,alabama,0100188,http://www.chickasawschools.com/,TRUE,1
