link,district,state,nces_id,page_number,type
http://www.accomack.k12.va.us//apps/pages/index.jsp?uREC_ID=265997&type=d&termREC_ID=&pREC_ID=802365,accomack co pblc schs,virginia,5100060,1,LINK
NA,NA,NA,NA,NA,LINK
NA,NA,NA,NA,NA,LINK
http://www2.k12albemarle.org/Pages/default.aspx/acps/division/communications/Pages/Supporting-Student-Learning-During-Our-Closure.aspx,albemarle co pblc schs,virginia,5100090,3,LINK
http://www2.k12albemarle.org/Pages/default.aspx/acps/division/communications/Pages/School-Closure-Extended-Through-April-10.aspx,albemarle co pblc schs,virginia,5100090,4,LINK
NA,NA,NA,NA,NA,LINK
NA,NA,NA,NA,NA,LINK
https://www.k12albemarle.org/acps/division/Pages/COVID-19.aspx,albemarle co pblc schs,virginia,5100090,7,LINK
http://www.alleghany.k12.va.us//superintendent/policy_manual/section_b___school_board_governance_and_operations/b_b_f_a_--_conflict_of_interest___disclosure_of,alleghany co pblc schs,virginia,5100152,1,LINK
http://www.alleghany.k12.va.us/c_o_v_i_d-19_information_from_ACPS,alleghany co pblc schs,virginia,5100152,2,LINK
https://www.apsva.us/post/free-meals-for-students-during-closures/,arlington co pblc schs,virginia,5100270,1,LINK
https://www.apsva.us/post/update-on-coronavirus-guidelines/,arlington co pblc schs,virginia,5100270,2,LINK
http://www.augusta.k12.va.us/domain/3705,augusta co pblc schs,virginia,5100300,1,LINK
http://www.augusta.k12.va.us/domain/3709,augusta co pblc schs,virginia,5100300,2,LINK
https://www.augusta.k12.va.us/covid19,augusta co pblc schs,virginia,5100300,3,LINK
NA,NA,NA,NA,NA,LINK
http://www.bcps.k12.va.us/anouncements/information_regarding_coronavirus___march_9__2020,botetourt co pblc schs,virginia,5100420,1,LINK
http://www.bcps.k12.va.us/c_o_v_i_d-19,botetourt co pblc schs,virginia,5100420,2,LINK
https://www.bvps.org/apps/pages/covid19.info,bristol city pblc schs,virginia,5100450,1,LINK
http://www.brunswickcps.org/apps/pages/index.jsp?uREC_ID=441354&type=d,brunswick co pblc schs,virginia,5100480,1,LINK
http://www.brunswickcps.org/apps/news/show_news.jsp?REC_ID=633580&id=0,brunswick co pblc schs,virginia,5100480,2,LINK
http://www.brunswickcps.org/apps/news/show_news.jsp?REC_ID=632729&id=0,brunswick co pblc schs,virginia,5100480,3,LINK
http://www.brunswickcps.org/apps/news/show_news.jsp?REC_ID=632466&id=0,brunswick co pblc schs,virginia,5100480,4,LINK
http://www.brunswickcps.org/apps/news/show_news.jsp?REC_ID=628998&id=0,brunswick co pblc schs,virginia,5100480,5,LINK
