district_name,state,nces_id,url,any_link_found,n_links_found
accomack co pblc schs,virginia,5100060,http://www.accomack.k12.va.us/,TRUE,1
albemarle co pblc schs,virginia,5100090,http://www2.k12albemarle.org/Pages/default.aspx,TRUE,7
alexandria city pblc schs,virginia,5100120,http://www.acps.k12.va.us,FALSE,0
alleghany co pblc schs,virginia,5100152,http://www.alleghany.k12.va.us/,TRUE,2
amelia co pblc schs,virginia,5100180,http://www.amelia.k12.va.us,FALSE,0
amherst co pblc schs,virginia,5100210,http://www.amherst.k12.va.us,FALSE,0
NA,NA,NA,NA,FALSE,0
arlington co pblc schs,virginia,5100270,http://www.apsva.us,TRUE,2
augusta co pblc schs,virginia,5100300,http://www.augusta.k12.va.us,TRUE,4
bedford co pblc schs,virginia,5100360,http://www.bedford.k12.va.us,FALSE,0
bland co pblc schs,virginia,5100390,http://www.bland.k12.va.us,FALSE,0
botetourt co pblc schs,virginia,5100420,http://www.bcps.k12.va.us,TRUE,4
bristol city pblc schs,virginia,5100450,http://www.bvps.org,TRUE,1
brunswick co pblc schs,virginia,5100480,http://www.brunswickcps.org,TRUE,9
buchanan co pblc schs,virginia,5100510,http://www.buc.k12.va.us,FALSE,0
buckingham co pblc schs,virginia,5100540,http://www.bcpschools.org,FALSE,0
buena vista city pblc schs,virginia,5100560,http://www.bvcps.net,TRUE,3
campbell co pblc schs,virginia,5100600,http://www.campbell.k12.va.us,TRUE,2
caroline co pblc schs,virginia,5100660,http://www.ccps.us,TRUE,3
carroll co pblc schs,virginia,5100690,http://www.ccpsd.k12.va.us,TRUE,3
charles city co pblc schs,virginia,5100720,http://www.ccps.net,TRUE,2
charlotte co pblc schs,virginia,5100750,http://www.ccpsk12.org,TRUE,4
charlottesville cty pblc schs,virginia,5100780,http://www.charlottesvilleschools.org/,TRUE,3
chesapeake city pblc schs,virginia,5100810,http://www.cpschools.com,FALSE,0
chesterfield co pblc schs,virginia,5100840,http://www.mychesterfieldschools.com/,TRUE,1
clarke co pblc schs,virginia,5100870,http://www.clarke.k12.va.us,FALSE,0
colonial beach pblc schs,virginia,5100930,http://www.cbschools.net,TRUE,3
colonial heights city pblc schs,virginia,5100960,http://www.colonialhts.net,TRUE,3
covington city pblc schs,virginia,5100990,http://www.covington.k12.va.us,TRUE,9
craig co pblc schs,virginia,5101020,http://www.craig.k12.va.us,TRUE,4
culpeper co pblc schs,virginia,5101050,http://www.culpeperschools.org,TRUE,2
cumberland co pblc schs,virginia,5101080,http://www.cucps.k12.va.us,FALSE,0
danville city pblc schs,virginia,5101110,http://www.danvillepublicschools.org/,TRUE,3
dickenson co pblc schs,virginia,5101140,http://www.dcps.k12.va.us,FALSE,0
dinwiddie co pblc schs,virginia,5101170,http://www.dinwiddie.k12.va.us,TRUE,1
essex co pblc schs,virginia,5101200,http://www.essex.k12.va.us,FALSE,0
fairfax co pblc schs,virginia,5101260,http://www.fcps.edu,TRUE,6
falls church city pblc schs,virginia,5101290,http://www.fccps.org,TRUE,4
fauquier co pblc schs,virginia,5101320,http://www.fcps1.org/,TRUE,1
floyd co pblc schs,virginia,5101350,http://www.floyd.k12.va.us,TRUE,2
fluvanna co pblc schs,virginia,5101380,http://www.fluco.org,TRUE,3
franklin city pblc schs,virginia,5101410,http://www.fcpsva.org,TRUE,1
franklin co pblc schs,virginia,5101440,http://www.frco.k12.va.us,FALSE,0
frederick co pblc schs,virginia,5101470,http://www.frederick.k12.va.us,TRUE,2
fredericksburg city pblc schs,virginia,5101510,http://www.cityschools.com/,TRUE,1
giles co pblc schs,virginia,5101590,http://sbo.gilesk12.org,TRUE,2
gloucester co pblc schs,virginia,5101620,http://gets.gc.k12.va.us/,TRUE,1
grayson co pblc schs,virginia,5101690,http://www.grayson.k12.va.us,TRUE,2
greene co pblc schs,virginia,5101710,http://www.greenecountyschools.com,TRUE,4
greensville co pblc schs,virginia,5101740,http://www.gcps1.com,TRUE,2
halifax co pblc schs,virginia,5101770,http://www.halifax.k12.va.us,FALSE,0
hampton city pblc schs,virginia,5101800,http://www.hampton.k12.va.us,TRUE,2
henrico co pblc schs,virginia,5101890,http://www.henricoschools.us,FALSE,0
henry co pblc schs,virginia,5101920,http://www.henry.k12.va.us,FALSE,0
highland co pblc schs,virginia,5101950,http://www.highland.k12.va.us/,TRUE,4
hopewell city pblc schs,virginia,5101980,http://www.hopewell.k12.va.us,TRUE,1
isle of wight co pblc schs,virginia,5102010,http://www.iwcs.k12.va.us,FALSE,0
king and queen co pblc schs,virginia,5102070,http://www.kqps.net/,TRUE,5
king geo co pblc schs,virginia,5102100,http://www.kgcs.k12.va.us/,FALSE,0
king william co pblc schs,virginia,5102120,http://www.kwcps.k12.va.us,FALSE,0
lancaster co pblc schs,virginia,5102160,http://www.lcs.k12.va.us,TRUE,1
lexington city pblc schs,virginia,5102220,http://www.lexedu.org,FALSE,0
loudoun co pblc schs,virginia,5102250,http://www.lcps.org,FALSE,0
louisa co pblc schs,virginia,5102280,http://www.lcps.k12.va.us,TRUE,2
lunenburg co pblc schs,virginia,5102310,http://www.lunenburgcountyschools.org/,TRUE,4
lynchburg city pblc schs,virginia,5102340,http://www.lcsedu.net,TRUE,4
madison co pblc schs,virginia,5102370,http://www2.madisonschools.k12.va.us,FALSE,0
manassas city pblc schs,virginia,5102360,http://www.mcpsva.org,TRUE,1
manassas park city pblc schs,virginia,5102390,http://www.mpark.net,FALSE,0
martinsville city pblc schs,virginia,5102400,http://www.martinsville.k12.va.us,TRUE,1
mathews co pblc schs,virginia,5102430,http://www.mathews.k12.va.us,TRUE,2
mecklenburg co pblc schs,virginia,5102460,http://www.mcpsweb.org/,FALSE,0
middlesex co pblc schs,virginia,5102490,http://www.mcps.k12.va.us,TRUE,1
montgomery co pblc schs,virginia,5102520,http://www.mcps.org,TRUE,2
nelson co pblc schs,virginia,5102580,http://www.nelson.k12.va.us,TRUE,1
new kent co pblc schs,virginia,5102610,http://www.newkentschools.org,TRUE,4
newport news city pblc schs,virginia,5102640,http://www.sbo.nn.k12.va.us/,TRUE,3
norfolk city pblc schs,virginia,5102670,http://www.nps.k12.va.us,TRUE,3
northampton co pblc schs,virginia,5102710,http://www.ncpsk12.com,FALSE,0
northumberland co pblc schs,virginia,5102730,http://www.nucps.net,FALSE,0
norton city pblc schs,virginia,5102760,http://www.nortoncityschools.org,TRUE,1
nottoway co pblc schs,virginia,5102790,http://www.nottowayschools.org/,TRUE,1
orange co pblc schs,virginia,5102820,http://www.ocss-va.org,TRUE,3
page co pblc schs,virginia,5102850,http://eclipse.pagecounty.k12.va.us,FALSE,0
patrick co pblc schs,virginia,5102880,http://www.patrick.k12.va.us,TRUE,2
petersburg city pblc schs,virginia,5102910,http://www.petersburg.k12.va.us,TRUE,1
poquoson city pblc schs,virginia,5102980,http://www.poquoson.k12.va.us,FALSE,0
portsmouth city pblc schs,virginia,5103000,http://pps.k12.va.us,FALSE,0
powhatan co pblc schs,virginia,5103030,http://www.powhatan.k12.va.us,TRUE,3
prince edward co pblc schs,virginia,5103060,http://www.pecps.k12.va.us,FALSE,0
prince george co pblc schs,virginia,5103090,http://pgs.k12.va.us,TRUE,3
prince william co pblc schs,virginia,5103130,http://www.pwcs.edu,TRUE,2
pulaski co pblc schs,virginia,5103150,http://www.pcva.us,TRUE,1
radford city pblc schs,virginia,5103180,http://www.rcps.org,TRUE,1
rappahannock co pblc schs,virginia,5103210,http://www.rappahannockschools.us,TRUE,1
richmond city pblc schs,virginia,5103240,http://www.rvaschools.net,TRUE,2
richmond co pblc schs,virginia,5103270,http://www.richmond-county.k12.va.us,TRUE,1
